JobTitle,JobCategory,Salary,Location,SkillsRequired,StartDate,JobSummary
Biomedical Scientist,Engineering and Science,£29000,Bristol,"['Technical Writing', 'Regulatory Compliance', 'Problem Solving']",2025-04-25,Conduct research and analyse biological samples to support medical and clinical studies.
Quantity Surveyor,Engineering and Science,£33000,Sheffield,"['Simulation Software', 'Mechanical Design', 'Statistical Analysis']",2025-04-07,"Manage costs and budgets for construction projects. Conduct cost estimation, financial reporting, and contract administration."
Mechanical Engineer,Engineering and Science,£30000,London,"['Statistical Analysis', 'Finite Element Analysis', 'Simulation Software']",2025-02-24,"Design machinery and equipment, and troubleshoot engineering issues."
Web Developer,Technology and Data,£31000,Nottingham,"['Python Programming', 'Data Warehousing', 'Problem Solving']",2024-11-12,"Build and maintain websites and web applications. You will have to be proficient in HTML, CSS and JavaScript."
Operations Manager,Finance and Business,£30000,Liverpool,"['Regulatory Compliance', 'Quantitative Analysis', 'Budgeting']",2024-10-02,"Oversee daily operations of the organisation, ensuring efficiency and effectiveness to streamline processes."
Research Scientist,Engineering and Science,£33000,London,"['Project Management Software', 'Engineering Design', 'Technical Writing']",2025-03-28,Conduct experiments and analyse data to advance scientific knowledge. You must be specialised in areas such as biology or physics.
Nurse,Administrative,£31000,Newcastle,"['Performance Appraisal Systems', 'Recruitment', 'HR Information Systems']",2025-09-01,"Provide medical care and support to patients. Duties include conducting medical assessments, administering treatments, and collaborating with healthcare professionals."
Insurance Underwriter,Administrative,£26000,Birmingham,"['Communication', 'Organisational Skills', 'Employee Relations']",2024-09-21,Evaluate insurance applications and determine coverage terms. Assess risk factors and decide on policy approval and pricing.
Marketing Executive,Marketing and Creative,£21000,Sheffield,"['Content Creation', 'Graphic Design', 'Campaign Management']",2025-04-10,"Plan and execute marketing campaigns to promote products and services, through analysing market trends and tracking campaign performance."
Quantity Surveyor,Engineering and Science,£21000,Bristol,"['Finite Element Analysis', 'Statistical Analysis', 'Prototyping']",2025-09-05,"Manage costs and budgets for construction projects. Conduct cost estimation, financial reporting, and contract administration."
Data Analyst,Technology and Data,£32000,Cambridge,"['Django', 'APIs', 'Version Control']",2025-05-10,"Analyse and interpret complex data sets to help organisations make informed decisions, utilising tools like SQL and other data sorting software."
Social Media Manager,Marketing and Creative,£21000,Cambridge,"['Adobe Creative Suite', 'Content Management Systems', 'Social Media Marketing']",2024-10-18,"Manage social media accounts and create content to engage with followers, and also analyse social media metrics and develop strategies for growth."
Health and Safety Advisor,Engineering and Science,£22000,Leeds,"['Engineering Design', 'Statistical Analysis', 'Product Development']",2025-09-17,Develop and implement health and safety policies; conducting risk assessments and ensuring compliance with safety regulations.
Business Analyst,Finance and Business,£23000,Liverpool,"['Reporting', 'Budgeting', 'Quantitative Analysis']",2025-03-04,Identify business needs and develop solutions to enhance processes and operations.
Quantity Surveyor,Engineering and Science,£33000,Liverpool,"['Lab Techniques', 'Statistical Analysis', 'Simulation Software']",2025-05-13,"Manage costs and budgets for construction projects. Conduct cost estimation, financial reporting, and contract administration."
Research Scientist,Engineering and Science,£20000,London,"['Product Development', 'Research Methodology', 'CAD Software']",2024-11-24,Conduct experiments and analyse data to advance scientific knowledge. You must be specialised in areas such as biology or physics.
Recruitment Consultant,Administrative,£29000,Newcastle,"['Communication', 'Onboarding', 'Talent Acquisition']",2025-06-18,"Manage the recruitment process to attract and hire top talent. Develop job descriptions, screen candidates, and conduct interviews."
Supply Chain Analyst,Finance and Business,£25000,Birmingham,"['Reporting', 'Financial Analysis', 'Project Management']",2025-08-19,You will be asked to analyse and optimise supply chain processes to improve efficiency and reduce costs.
UI Designer,Technology and Data,£28000,Birmingham,"['Python Programming', 'Data Analysis', 'Data Warehousing']",2025-01-24,"Create user-friendly interfaces and enhance user experience for websites and applications, expertise in design tools like Sketch and Adobe XD is necessaary."
Nurse,Administrative,£30000,Leeds,"['Leadership', 'Performance Appraisal Systems', 'Client Management']",2025-08-11,"Provide medical care and support to patients. Duties include conducting medical assessments, administering treatments, and collaborating with healthcare professionals."
Web Developer,Technology and Data,£32000,Liverpool,"['Big Data Technologies', 'Django', 'Data Analysis']",2024-12-18,"Build and maintain websites and web applications. You will have to be proficient in HTML, CSS and JavaScript."
Corporate Finance Analyst,Finance and Business,£33000,Newcastle,"['Reporting', 'Financial Modeling', 'Business Strategy']",2024-10-05,"Support corporate finance activities including budgeting, forecasting, and financial planning."
Product Designer,Marketing and Creative,£21000,Liverpool,"['Campaign Management', 'Analytics', 'PPC Advertising']",2025-09-21,"Design and develop new products, from concept to production. You will work on product specifications and testing."
Health and Safety Advisor,Engineering and Science,£22000,London,"['Project Management Software', 'Technical Writing', 'Finite Element Analysis']",2024-11-29,Develop and implement health and safety policies; conducting risk assessments and ensuring compliance with safety regulations.
Corporate Finance Analyst,Finance and Business,£34000,Newcastle,"['Analytical Skills', 'Excel', 'Bookkeeping']",2025-02-21,"Support corporate finance activities including budgeting, forecasting, and financial planning."
Audit Associate,Finance and Business,£20000,Birmingham,"['Financial Forecasting', 'Financial Modeling', 'Quantitative Analysis']",2025-03-20,Perform internal audits to ensure compliance with regulations and standards. You will also be able to review financial records and assess internal controls.
Teacher,Administrative,£33000,Birmingham,"['Communication', 'Conflict Resolution', 'Training and Development']",2025-09-13,"Plan and deliver educational lessons to students. You will develop lesson plans, assess student performance, and provide effective feedback."
Quantity Surveyor,Engineering and Science,£23000,Cambridge,"['Engineering Design', 'Research Methodology', 'Product Development']",2025-03-09,"Manage costs and budgets for construction projects. Conduct cost estimation, financial reporting, and contract administration."
UI Designer,Technology and Data,£28000,Bristol,"['Django', 'Data Warehousing', 'APIs']",2025-07-18,"Create user-friendly interfaces and enhance user experience for websites and applications, expertise in design tools like Sketch and Adobe XD is necessaary."
Quantity Surveyor,Engineering and Science,£24000,Sheffield,"['Statistical Analysis', 'CAD Software', 'Lab Techniques']",2025-06-05,"Manage costs and budgets for construction projects. Conduct cost estimation, financial reporting, and contract administration."
Research Scientist,Engineering and Science,£22000,Manchester,"['Product Development', 'CAD Software', 'Research Methodology']",2025-01-15,Conduct experiments and analyse data to advance scientific knowledge. You must be specialised in areas such as biology or physics.
Insurance Underwriter,Administrative,£26000,Birmingham,"['Recruitment', 'Employee Relations', 'Conflict Resolution']",2025-08-08,Evaluate insurance applications and determine coverage terms. Assess risk factors and decide on policy approval and pricing.
Supply Chain Analyst,Finance and Business,£32000,Liverpool,"['Regulatory Compliance', 'Risk Assessment', 'Business Strategy']",2025-09-29,You will be asked to analyse and optimise supply chain processes to improve efficiency and reduce costs.
Logistics Coordinator,Administrative,£25000,Birmingham,"['Performance Appraisal Systems', 'Client Management', 'Organisational Skills']",2024-12-18,Manage logistics and supply chain operations through coordinating shipments and tracking inventory.
Civil Engineer,Engineering and Science,£29000,Manchester,"['CAD Software', 'Finite Element Analysis', 'Mechanical Design']",2024-12-04,"Design and oversee construction projects such as roads and bridges, ensuring compliance with safety regulations and environmental standards."
Operations Manager,Finance and Business,£22000,Newcastle,"['Quantitative Analysis', 'Business Strategy', 'Financial Analysis']",2025-02-27,"Oversee daily operations of the organisation, ensuring efficiency and effectiveness to streamline processes."
Event Coordinator,Marketing and Creative,£26000,Manchester,"['Google Analytics', 'Adobe Creative Suite', 'Analytics']",2024-11-30,"Plan and execute events, ensuring all aspects run smoothly, managing event logistics and budgets."
Supply Chain Analyst,Finance and Business,£25000,Bristol,"['Quantitative Analysis', 'Financial Reporting', 'Excel']",2024-09-14,You will be asked to analyse and optimise supply chain processes to improve efficiency and reduce costs.
Health and Safety Advisor,Engineering and Science,£31000,Cambridge,"['CAD Software', 'Lab Techniques', 'Research Methodology']",2025-03-04,Develop and implement health and safety policies; conducting risk assessments and ensuring compliance with safety regulations.
UI Designer,Technology and Data,£25000,Leeds,"['Data Analysis', 'Big Data Technologies', 'Machine Learning']",2025-07-16,"Create user-friendly interfaces and enhance user experience for websites and applications, expertise in design tools like Sketch and Adobe XD is necessaary."
Sales Executive,Marketing and Creative,£28000,Leeds,"['Analytics', 'Brand Strategy', 'Graphic Design']",2025-01-06,Must be able to develop and execute sales strategies to meet business objectives.
Teacher,Administrative,£31000,Manchester,"['Organisational Skills', 'Conflict Resolution', 'Office Management']",2025-09-12,"Plan and deliver educational lessons to students. You will develop lesson plans, assess student performance, and provide effective feedback."
UI Designer,Technology and Data,£29000,Bristol,"['APIs', 'Problem Solving', 'ETL']",2025-07-17,"Create user-friendly interfaces and enhance user experience for websites and applications, expertise in design tools like Sketch and Adobe XD is necessaary."
Biomedical Scientist,Engineering and Science,£21000,Liverpool,"['Project Management Software', 'Simulation Software', 'Technical Writing']",2025-03-06,Conduct research and analyse biological samples to support medical and clinical studies.
Social Media Manager,Marketing and Creative,£34000,London,"['Adobe Creative Suite', 'Content Management Systems', 'PPC Advertising']",2024-10-24,"Manage social media accounts and create content to engage with followers, and also analyse social media metrics and develop strategies for growth."
Human Resources Assistant,Administrative,£25000,Manchester,"['Employee Relations', 'Compliance Management', 'Payroll Management']",2025-05-16,"Support HR functions including recruitment, employee relations, and record-keeping."
Audit Associate,Finance and Business,£30000,London,"['Market Research', 'Project Management', 'Financial Reporting']",2025-08-25,Perform internal audits to ensure compliance with regulations and standards. You will also be able to review financial records and assess internal controls.
Quantity Surveyor,Engineering and Science,£23000,Sheffield,"['Prototyping', 'Simulation Software', 'Lab Techniques']",2025-08-10,"Manage costs and budgets for construction projects. Conduct cost estimation, financial reporting, and contract administration."
Pharmaceutical Sales Representative,Engineering and Science,£20000,Nottingham,"['Regulatory Compliance', 'Statistical Analysis', 'CAD Software']",2025-02-20,Promote and sell pharmaceutical products to healthcare professionals by providing product information and building relationships with clients.
Data Scientist,Technology and Data,£21000,Leeds,"['SQL', 'Data Visualisation', 'JavaScript']",2025-04-29,Apply statistical analysis and machine learning techniques to interpret data and provide actionable insights. Experience with tools such as Python and R is preferred.
Software Developer,Technology and Data,£31000,Leeds,"['Data Analysis', 'Version Control', 'APIs']",2024-10-12,"Develop and maintain software applications and systems, and write clean code in languages such as Python and JavaScript."
Pharmaceutical Sales Representative,Engineering and Science,£34000,Cambridge,"['Lab Techniques', 'Regulatory Compliance', 'Prototyping']",2024-11-11,Promote and sell pharmaceutical products to healthcare professionals by providing product information and building relationships with clients.
Audit Associate,Finance and Business,£24000,London,"['Business Strategy', 'Financial Analysis', 'Financial Reporting']",2025-04-25,Perform internal audits to ensure compliance with regulations and standards. You will also be able to review financial records and assess internal controls.
Marketing Executive,Marketing and Creative,£21000,Manchester,"['Google Analytics', 'Content Management Systems', 'Market Research']",2025-07-17,"Plan and execute marketing campaigns to promote products and services, through analysing market trends and tracking campaign performance."
Engineering Graduate,Engineering and Science,£22000,Cambridge,"['Research Methodology', 'Mechanical Design', 'Regulatory Compliance']",2024-12-26,Assist in engineering projects and gain hands-on experience by supporting senior engineers in design and testing.
Pharmaceutical Sales Representative,Engineering and Science,£30000,Leeds,"['CAD Software', 'Research Methodology', 'Finite Element Analysis']",2025-07-14,Promote and sell pharmaceutical products to healthcare professionals by providing product information and building relationships with clients.
Financial Analyst,Finance and Business,£23000,Cambridge,"['Market Research', 'Financial Modeling', 'Excel']",2024-12-21,"Analyse financial data and create reports to support business decisions, and then develop financial models and forecasts to assess performance."
Marketing Executive,Marketing and Creative,£21000,Newcastle,"['Social Media Marketing', 'Analytics', 'SEO Optimisation']",2025-03-28,"Plan and execute marketing campaigns to promote products and services, through analysing market trends and tracking campaign performance."
Teacher,Administrative,£23000,Sheffield,"['Leadership', 'Training and Development', 'HR Information Systems']",2025-09-01,"Plan and deliver educational lessons to students. You will develop lesson plans, assess student performance, and provide effective feedback."
Civil Engineer,Engineering and Science,£25000,Cambridge,"['Research Methodology', 'Data Analysis', 'Engineering Design']",2025-06-05,"Design and oversee construction projects such as roads and bridges, ensuring compliance with safety regulations and environmental standards."
Mechanical Engineer,Engineering and Science,£28000,Sheffield,"['Problem Solving', 'Regulatory Compliance', 'Mechanical Design']",2025-05-15,"Design machinery and equipment, and troubleshoot engineering issues."
Health and Safety Advisor,Engineering and Science,£28000,Manchester,"['Lab Techniques', 'Research Methodology', 'Product Development']",2024-09-10,Develop and implement health and safety policies; conducting risk assessments and ensuring compliance with safety regulations.
Graphic Designer,Marketing and Creative,£27000,London,"['Brand Strategy', 'Graphic Design', 'Digital Marketing']",2024-12-11,Design visual assets for print and digital media. You must be proficient in design software such as Adobe Photoshop and Illustrator.
Sales Executive,Marketing and Creative,£31000,Manchester,"['Brand Strategy', 'Analytics', 'Market Research']",2024-09-06,Must be able to develop and execute sales strategies to meet business objectives.
Customer Service Manager,Administrative,£30000,Manchester,"['Employee Relations', 'Office Management', 'Compliance Management']",2025-03-15,Oversee customer service operations to ensure high customer satisfaction. Manage customer service teams and resolve escalated issues.
Human Resources Assistant,Administrative,£29000,Newcastle,"['Organisational Skills', 'Leadership', 'Recruitment']",2025-05-03,"Support HR functions including recruitment, employee relations, and record-keeping."
Recruitment Consultant,Administrative,£32000,Liverpool,"['Compliance Management', 'Recruitment', 'Onboarding']",2025-08-25,"Manage the recruitment process to attract and hire top talent. Develop job descriptions, screen candidates, and conduct interviews."
Civil Engineer,Engineering and Science,£20000,Cambridge,"['Technical Writing', 'CAD Software', 'Lab Techniques']",2025-03-12,"Design and oversee construction projects such as roads and bridges, ensuring compliance with safety regulations and environmental standards."
Supply Chain Analyst,Finance and Business,£23000,Sheffield,"['Excel', 'Business Strategy', 'Bookkeeping']",2025-06-22,You will be asked to analyse and optimise supply chain processes to improve efficiency and reduce costs.
Public Relations Officer,Marketing and Creative,£28000,Liverpool,"['Brand Strategy', 'Adobe Creative Suite', 'Social Media Marketing']",2024-10-09,Manage public relations activities to promote and protect the organisation's image with varying strategies.
Pharmaceutical Sales Representative,Engineering and Science,£30000,London,"['Data Analysis', 'Project Management Software', 'Problem Solving']",2024-10-10,Promote and sell pharmaceutical products to healthcare professionals by providing product information and building relationships with clients.
Data Analyst,Technology and Data,£30000,Newcastle,"['APIs', 'Data Warehousing', 'Version Control']",2025-04-20,"Analyse and interpret complex data sets to help organisations make informed decisions, utilising tools like SQL and other data sorting software."
Research Scientist,Engineering and Science,£24000,Manchester,"['Prototyping', 'Data Analysis', 'Regulatory Compliance']",2025-02-26,Conduct experiments and analyse data to advance scientific knowledge. You must be specialised in areas such as biology or physics.
Sales Executive,Marketing and Creative,£25000,Cambridge,"['Content Creation', 'SEO Optimisation', 'Digital Marketing']",2025-01-30,Must be able to develop and execute sales strategies to meet business objectives.
Systems Analyst,Technology and Data,£28000,Manchester,"['Docker', 'ETL', 'Machine Learning']",2024-09-13,Evaluate and improve computer systems to enhance efficiency.
Pharmaceutical Sales Representative,Engineering and Science,£30000,Sheffield,"['CAD Software', 'Data Analysis', 'Technical Writing']",2025-05-16,Promote and sell pharmaceutical products to healthcare professionals by providing product information and building relationships with clients.
Recruitment Consultant,Administrative,£29000,Cambridge,"['Employee Relations', 'Client Management', 'Payroll Management']",2025-02-02,"Manage the recruitment process to attract and hire top talent. Develop job descriptions, screen candidates, and conduct interviews."
Social Media Manager,Marketing and Creative,£32000,Bristol,"['Analytics', 'Market Research', 'Graphic Design']",2025-04-02,"Manage social media accounts and create content to engage with followers, and also analyse social media metrics and develop strategies for growth."
Web Developer,Technology and Data,£27000,Birmingham,"['Data Visualisation', 'APIs', 'Docker']",2025-04-06,"Build and maintain websites and web applications. You will have to be proficient in HTML, CSS and JavaScript."
Teacher,Administrative,£26000,Newcastle,"['Onboarding', 'Payroll Management', 'Compliance Management']",2025-04-25,"Plan and deliver educational lessons to students. You will develop lesson plans, assess student performance, and provide effective feedback."
Data Scientist,Technology and Data,£31000,Leeds,"['SQL', 'Python Programming', 'APIs']",2024-11-17,Apply statistical analysis and machine learning techniques to interpret data and provide actionable insights. Experience with tools such as Python and R is preferred.
Biomedical Scientist,Engineering and Science,£22000,Leeds,"['Statistical Analysis', 'Mechanical Design', 'Simulation Software']",2024-10-07,Conduct research and analyse biological samples to support medical and clinical studies.
Nurse,Administrative,£32000,London,"['Communication', 'Performance Appraisal Systems', 'Employee Relations']",2024-09-28,"Provide medical care and support to patients. Duties include conducting medical assessments, administering treatments, and collaborating with healthcare professionals."
Public Relations Officer,Marketing and Creative,£27000,Nottingham,"['Graphic Design', 'Content Management Systems', 'Content Creation']",2024-11-06,Manage public relations activities to promote and protect the organisation's image with varying strategies.
Business Analyst,Finance and Business,£25000,Manchester,"['Risk Assessment', 'Reporting', 'Regulatory Compliance']",2025-07-22,Identify business needs and develop solutions to enhance processes and operations.
IT Support Specialist,Technology and Data,£34000,Nottingham,"['JavaScript', 'ETL', 'Data Visualisation']",2025-06-16,You will have to provide technical support and troubleshooting for hardware and software issues.
Human Resources Assistant,Administrative,£21000,Bristol,"['Office Management', 'Communication', 'Performance Appraisal Systems']",2024-10-17,"Support HR functions including recruitment, employee relations, and record-keeping."
Audit Associate,Finance and Business,£35000,Liverpool,"['Market Research', 'Project Management', 'Financial Forecasting']",2025-03-21,Perform internal audits to ensure compliance with regulations and standards. You will also be able to review financial records and assess internal controls.
Audit Associate,Finance and Business,£21000,Nottingham,"['Quantitative Analysis', 'Analytical Skills', 'Financial Reporting']",2025-04-28,Perform internal audits to ensure compliance with regulations and standards. You will also be able to review financial records and assess internal controls.
Content Writer,Marketing and Creative,£33000,London,"['PPC Advertising', 'Adobe Creative Suite', 'Social Media Marketing']",2025-07-14,"Create engaging written content for various platforms, including blogs, websites, and various social media platforms."
Investment Banking Analyst,Finance and Business,£29000,Newcastle,"['Analytical Skills', 'Excel', 'Financial Modeling']",2025-08-25,You will assist in the evaluation of investment opportunities and financial transactions. You must also be proficient in conducting market research and financial modeling.
Mechanical Engineer,Engineering and Science,£21000,Liverpool,"['Data Analysis', 'Mechanical Design', 'Product Development']",2025-04-09,"Design machinery and equipment, and troubleshoot engineering issues."
Quantity Surveyor,Engineering and Science,£27000,Manchester,"['Simulation Software', 'Data Analysis', 'Research Methodology']",2025-02-13,"Manage costs and budgets for construction projects. Conduct cost estimation, financial reporting, and contract administration."
Event Coordinator,Marketing and Creative,£26000,Cambridge,"['Digital Marketing', 'Adobe Creative Suite', 'Campaign Management']",2025-04-16,"Plan and execute events, ensuring all aspects run smoothly, managing event logistics and budgets."
Technical Support Engineer,Technology and Data,£24000,London,"['Data Analysis', 'Django', 'Problem Solving']",2024-12-02,"You should be able to diagnose and resolve technical issues, providing support to clients and customers."
Engineering Graduate,Engineering and Science,£26000,London,"['Research Methodology', 'Simulation Software', 'Project Management Software']",2024-09-22,Assist in engineering projects and gain hands-on experience by supporting senior engineers in design and testing.
Management Consultant,Administrative,£27000,Cambridge,"['Onboarding', 'Talent Acquisition', 'Performance Appraisal Systems']",2025-06-09,Analyse organisational practices and develop strategies to improve efficiency and effectiveness; then be able to provide recommendations for business improvements.
Corporate Finance Analyst,Finance and Business,£32000,Manchester,"['Business Strategy', 'Bookkeeping', 'Regulatory Compliance']",2025-06-13,"Support corporate finance activities including budgeting, forecasting, and financial planning."
Pharmaceutical Sales Representative,Engineering and Science,£34000,Manchester,"['Regulatory Compliance', 'Technical Writing', 'Mechanical Design']",2024-10-06,Promote and sell pharmaceutical products to healthcare professionals by providing product information and building relationships with clients.
Product Designer,Marketing and Creative,£29000,Leeds,"['Market Research', 'SEO Optimisation', 'Email Marketing']",2025-08-26,"Design and develop new products, from concept to production. You will work on product specifications and testing."
Audit Associate,Finance and Business,£27000,Nottingham,"['Market Research', 'Project Management', 'Business Strategy']",2025-04-15,Perform internal audits to ensure compliance with regulations and standards. You will also be able to review financial records and assess internal controls.
IT Support Specialist,Technology and Data,£31000,Manchester,"['APIs', 'Machine Learning', 'Problem Solving']",2025-09-28,You will have to provide technical support and troubleshooting for hardware and software issues.
Investment Banking Analyst,Finance and Business,£26000,Cambridge,"['Financial Forecasting', 'Bookkeeping', 'Risk Assessment']",2025-02-16,You will assist in the evaluation of investment opportunities and financial transactions. You must also be proficient in conducting market research and financial modeling.
Recruitment Consultant,Administrative,£21000,London,"['Training and Development', 'Talent Acquisition', 'Payroll Management']",2025-01-26,"Manage the recruitment process to attract and hire top talent. Develop job descriptions, screen candidates, and conduct interviews."
Logistics Coordinator,Administrative,£34000,London,"['Training and Development', 'HR Information Systems', 'Compliance Management']",2025-08-13,Manage logistics and supply chain operations through coordinating shipments and tracking inventory.
Graphic Designer,Marketing and Creative,£32000,Sheffield,"['User Research', 'Adobe Creative Suite', 'Google Analytics']",2025-04-10,Design visual assets for print and digital media. You must be proficient in design software such as Adobe Photoshop and Illustrator.
Teacher,Administrative,£21000,Leeds,"['Payroll Management', 'Training and Development', 'Client Management']",2024-09-20,"Plan and deliver educational lessons to students. You will develop lesson plans, assess student performance, and provide effective feedback."
Logistics Coordinator,Administrative,£23000,London,"['Compliance Management', 'Onboarding', 'Recruitment']",2025-04-01,Manage logistics and supply chain operations through coordinating shipments and tracking inventory.
Quantity Surveyor,Engineering and Science,£31000,Bristol,"['Lab Techniques', 'Regulatory Compliance', 'Mechanical Design']",2024-10-22,"Manage costs and budgets for construction projects. Conduct cost estimation, financial reporting, and contract administration."
Systems Analyst,Technology and Data,£21000,Newcastle,"['Data Warehousing', 'SQL', 'JavaScript']",2025-02-23,Evaluate and improve computer systems to enhance efficiency.
Corporate Finance Analyst,Finance and Business,£33000,Sheffield,"['Bookkeeping', 'Business Strategy', 'Quantitative Analysis']",2025-07-06,"Support corporate finance activities including budgeting, forecasting, and financial planning."
Financial Analyst,Finance and Business,£27000,Bristol,"['Budgeting', 'Bookkeeping', 'Excel']",2024-10-19,"Analyse financial data and create reports to support business decisions, and then develop financial models and forecasts to assess performance."
Investment Banking Analyst,Finance and Business,£29000,Leeds,"['Financial Modeling', 'Regulatory Compliance', 'Financial Analysis']",2025-02-06,You will assist in the evaluation of investment opportunities and financial transactions. You must also be proficient in conducting market research and financial modeling.
Business Analyst,Finance and Business,£27000,London,"['Risk Assessment', 'Bookkeeping', 'Regulatory Compliance']",2025-03-09,Identify business needs and develop solutions to enhance processes and operations.
Technical Support Engineer,Technology and Data,£35000,London,"['SQL', 'Django', 'Data Visualisation']",2025-05-27,"You should be able to diagnose and resolve technical issues, providing support to clients and customers."
Engineering Graduate,Engineering and Science,£31000,London,"['Statistical Analysis', 'Research Methodology', 'Simulation Software']",2025-05-02,Assist in engineering projects and gain hands-on experience by supporting senior engineers in design and testing.
Recruitment Consultant,Administrative,£27000,Manchester,"['Talent Acquisition', 'Training and Development', 'Payroll Management']",2025-01-04,"Manage the recruitment process to attract and hire top talent. Develop job descriptions, screen candidates, and conduct interviews."
Technical Support Engineer,Technology and Data,£24000,Birmingham,"['APIs', 'Big Data Technologies', 'Machine Learning']",2025-05-02,"You should be able to diagnose and resolve technical issues, providing support to clients and customers."
Data Analyst,Technology and Data,£20000,Newcastle,"['Machine Learning', 'Big Data Technologies', 'JavaScript']",2025-06-29,"Analyse and interpret complex data sets to help organisations make informed decisions, utilising tools like SQL and other data sorting software."
Risk Analyst,Finance and Business,£27000,Liverpool,"['Project Management', 'Business Strategy', 'Regulatory Compliance']",2024-09-19,You must be able to identify and assess potential risks to the organisation.
Marketing Executive,Marketing and Creative,£30000,Manchester,"['PPC Advertising', 'Content Management Systems', 'Campaign Management']",2025-09-25,"Plan and execute marketing campaigns to promote products and services, through analysing market trends and tracking campaign performance."
Nurse,Administrative,£30000,Birmingham,"['HR Information Systems', 'Organisational Skills', 'Onboarding']",2024-12-30,"Provide medical care and support to patients. Duties include conducting medical assessments, administering treatments, and collaborating with healthcare professionals."
Logistics Coordinator,Administrative,£33000,Sheffield,"['Recruitment', 'Performance Appraisal Systems', 'Conflict Resolution']",2024-12-14,Manage logistics and supply chain operations through coordinating shipments and tracking inventory.
Product Designer,Marketing and Creative,£34000,Birmingham,"['User Research', 'Adobe Creative Suite', 'Content Creation']",2025-06-04,"Design and develop new products, from concept to production. You will work on product specifications and testing."
Financial Analyst,Finance and Business,£24000,London,"['Excel', 'Quantitative Analysis', 'Financial Reporting']",2025-05-30,"Analyse financial data and create reports to support business decisions, and then develop financial models and forecasts to assess performance."
Business Analyst,Finance and Business,£24000,Cambridge,"['Risk Assessment', 'Analytical Skills', 'Financial Modeling']",2024-09-14,Identify business needs and develop solutions to enhance processes and operations.
Recruitment Consultant,Administrative,£22000,Cambridge,"['HR Information Systems', 'Onboarding', 'Payroll Management']",2025-03-17,"Manage the recruitment process to attract and hire top talent. Develop job descriptions, screen candidates, and conduct interviews."
Sales Executive,Marketing and Creative,£28000,Birmingham,"['User Research', 'Digital Marketing', 'Content Management Systems']",2025-02-27,Must be able to develop and execute sales strategies to meet business objectives.
Systems Analyst,Technology and Data,£24000,Cambridge,"['JavaScript', 'SQL', 'Problem Solving']",2025-04-11,Evaluate and improve computer systems to enhance efficiency.
Operations Manager,Finance and Business,£33000,Bristol,"['Budgeting', 'Financial Analysis', 'Financial Reporting']",2025-03-18,"Oversee daily operations of the organisation, ensuring efficiency and effectiveness to streamline processes."
Mechanical Engineer,Engineering and Science,£32000,London,"['Regulatory Compliance', 'Finite Element Analysis', 'Statistical Analysis']",2024-11-30,"Design machinery and equipment, and troubleshoot engineering issues."
Quantity Surveyor,Engineering and Science,£20000,Sheffield,"['Statistical Analysis', 'Research Methodology', 'Prototyping']",2025-03-27,"Manage costs and budgets for construction projects. Conduct cost estimation, financial reporting, and contract administration."
Digital Marketing Specialist,Marketing and Creative,£28000,Newcastle,"['Analytics', 'Email Marketing', 'Google Analytics']",2025-01-07,"Implement digital marketing strategies, including SEO, PPC, and social media."
Technical Support Engineer,Technology and Data,£33000,Newcastle,"['SQL', 'Data Visualisation', 'Django']",2025-01-19,"You should be able to diagnose and resolve technical issues, providing support to clients and customers."
Audit Associate,Finance and Business,£22000,Liverpool,"['Budgeting', 'Analytical Skills', 'Financial Reporting']",2024-12-23,Perform internal audits to ensure compliance with regulations and standards. You will also be able to review financial records and assess internal controls.
Supply Chain Analyst,Finance and Business,£34000,Leeds,"['Regulatory Compliance', 'Reporting', 'Budgeting']",2025-09-24,You will be asked to analyse and optimise supply chain processes to improve efficiency and reduce costs.
Content Writer,Marketing and Creative,£23000,Bristol,"['User Research', 'Content Creation', 'Social Media Marketing']",2025-07-25,"Create engaging written content for various platforms, including blogs, websites, and various social media platforms."
Product Designer,Marketing and Creative,£27000,Leeds,"['Email Marketing', 'User Research', 'Market Research']",2025-09-22,"Design and develop new products, from concept to production. You will work on product specifications and testing."
Business Analyst,Finance and Business,£21000,Cambridge,"['Quantitative Analysis', 'Financial Modeling', 'Market Research']",2025-03-10,Identify business needs and develop solutions to enhance processes and operations.
Web Developer,Technology and Data,£23000,Cambridge,"['Data Warehousing', 'Python Programming', 'Data Visualisation']",2025-01-19,"Build and maintain websites and web applications. You will have to be proficient in HTML, CSS and JavaScript."
Logistics Coordinator,Administrative,£31000,Cambridge,"['Onboarding', 'Leadership', 'Organisational Skills']",2025-06-29,Manage logistics and supply chain operations through coordinating shipments and tracking inventory.
Research Scientist,Engineering and Science,£27000,London,"['Technical Writing', 'Engineering Design', 'Mechanical Design']",2024-12-21,Conduct experiments and analyse data to advance scientific knowledge. You must be specialised in areas such as biology or physics.
Data Scientist,Technology and Data,£34000,Cambridge,"['SQL', 'Data Warehousing', 'Problem Solving']",2025-01-02,Apply statistical analysis and machine learning techniques to interpret data and provide actionable insights. Experience with tools such as Python and R is preferred.
Data Scientist,Technology and Data,£31000,Cambridge,"['Problem Solving', 'ETL', 'JavaScript']",2025-04-21,Apply statistical analysis and machine learning techniques to interpret data and provide actionable insights. Experience with tools such as Python and R is preferred.
Public Relations Officer,Marketing and Creative,£24000,London,"['Brand Strategy', 'SEO Optimisation', 'Campaign Management']",2025-08-17,Manage public relations activities to promote and protect the organisation's image with varying strategies.
