JobTitle,JobCategory,Salary,Location,SkillsRequired,JobSummary
Graphic Designer,Marketing and Creative,£33000,Sheffield,"['Market Research', 'SEO Optimisation', 'Social Media Marketing']",Design visual assets for print and digital media. You must be proficient in design software such as Adobe Photoshop and Illustrator.
Web Developer,Technology and Data,£25000,Nottingham,"['Cloud Computing', 'Data Analysis', 'Data Warehousing']","Build and maintain websites and web applications. You will have to be proficient in HTML, CSS and JavaScript."
Pharmaceutical Sales Representative,Engineering and Science,£34000,Birmingham,"['Lab Techniques', 'Statistical Analysis', 'Finite Element Analysis']",Promote and sell pharmaceutical products to healthcare professionals by providing product information and building relationships with clients.
IT Support Specialist,Technology and Data,£27000,Sheffield,"['Machine Learning', 'Data Visualisation', 'JavaScript']",You will have to provide technical support and troubleshooting for hardware and software issues.
Data Scientist,Technology and Data,£33000,Manchester,"['JavaScript', 'Data Analysis', 'SQL']",Apply statistical analysis and machine learning techniques to interpret data and provide actionable insights. Experience with tools such as Python and R is preferred.
Human Resources Assistant,Administrative,£25000,Nottingham,"['Conflict Resolution', 'Recruitment', 'Talent Acquisition']","Support HR functions including recruitment, employee relations, and record-keeping."
Legal Assistant,Administrative,£21000,Sheffield,"['HR Information Systems', 'Payroll Management', 'Leadership']",Provide administrative support to legal teams and assist with legal research and document preparation
Logistics Coordinator,Administrative,£26000,Cambridge,"['Client Management', 'Office Management', 'Onboarding']",Manage logistics and supply chain operations through coordinating shipments and tracking inventory.
UI Designer,Technology and Data,£23000,Bristol,"['Python Programming', 'Data Visualisation', 'ETL']","Create user-friendly interfaces and enhance user experience for websites and applications, expertise in design tools like Sketch and Adobe XD is necessaary."
Civil Engineer,Engineering and Science,£27000,Sheffield,"['Technical Writing', 'Engineering Design', 'Prototyping']","Design and oversee construction projects such as roads and bridges, ensuring compliance with safety regulations and environmental standards."
Digital Marketing Specialist,Marketing and Creative,£35000,Nottingham,"['Campaign Management', 'Market Research', 'Graphic Design']","Implement digital marketing strategies, including SEO, PPC, and social media."
Sales Executive,Marketing and Creative,£24000,Leeds,"['Content Management Systems', 'Analytics', 'Social Media Marketing']",Must be able to develop and execute sales strategies to meet business objectives.
Product Designer,Marketing and Creative,£32000,Newcastle,"['Graphic Design', 'SEO Optimisation', 'Digital Marketing']","Design and develop new products, from concept to production. You will work on product specifications and testing."
Recruitment Consultant,Administrative,£35000,Manchester,"['Organisational Skills', 'Office Management', 'Recruitment']","Manage the recruitment process to attract and hire top talent. Develop job descriptions, screen candidates, and conduct interviews."
Risk Analyst,Finance and Business,£21000,Manchester,"['Analytical Skills', 'Quantitative Analysis', 'Financial Modeling']",You must be able to identify and assess potential risks to the organisation.
Social Media Manager,Marketing and Creative,£26000,Cambridge,"['SEO Optimisation', 'Content Management Systems', 'Email Marketing']","Manage social media accounts and create content to engage with followers, and also analyse social media metrics and develop strategies for growth."
Civil Engineer,Engineering and Science,£24000,Liverpool,"['Engineering Design', 'Technical Writing', 'Statistical Analysis']","Design and oversee construction projects such as roads and bridges, ensuring compliance with safety regulations and environmental standards."
Supply Chain Analyst,Finance and Business,£34000,Liverpool,"['Project Management', 'Financial Modeling', 'Budgeting']",You will be asked to analyse and optimise supply chain processes to improve efficiency and reduce costs.
Public Relations Officer,Marketing and Creative,£32000,Newcastle,"['Graphic Design', 'Content Management Systems', 'PPC Advertising']",Manage public relations activities to promote and protect the organisation's image with varying strategies.
Recruitment Consultant,Administrative,£27000,Newcastle,"['Payroll Management', 'Training and Development', 'Conflict Resolution']","Manage the recruitment process to attract and hire top talent. Develop job descriptions, screen candidates, and conduct interviews."
Supply Chain Analyst,Finance and Business,£29000,Leeds,"['Financial Reporting', 'Quantitative Analysis', 'Market Research']",You will be asked to analyse and optimise supply chain processes to improve efficiency and reduce costs.
Corporate Finance Analyst,Finance and Business,£30000,Birmingham,"['Project Management', 'Risk Assessment', 'Analytical Skills']","Support corporate finance activities including budgeting, forecasting, and financial planning."
Human Resources Assistant,Administrative,£30000,Newcastle,"['Compliance Management', 'Office Management', 'Payroll Management']","Support HR functions including recruitment, employee relations, and record-keeping."
Quantity Surveyor,Engineering and Science,£33000,Newcastle,"['Engineering Design', 'CAD Software', 'Prototyping']","Manage costs and budgets for construction projects. Conduct cost estimation, financial reporting, and contract administration."
Health and Safety Advisor,Engineering and Science,£30000,Sheffield,"['Finite Element Analysis', 'Simulation Software', 'Prototyping']",Develop and implement health and safety policies; conducting risk assessments and ensuring compliance with safety regulations.
Digital Marketing Specialist,Marketing and Creative,£28000,Newcastle,"['Brand Strategy', 'Analytics', 'Social Media Marketing']","Implement digital marketing strategies, including SEO, PPC, and social media."
Audit Associate,Finance and Business,£33000,Liverpool,"['Project Management', 'Financial Modeling', 'Excel']",Perform internal audits to ensure compliance with regulations and standards. You will also be able to review financial records and assess internal controls.
Corporate Finance Analyst,Finance and Business,£31000,Leeds,"['Excel', 'Market Research', 'Project Management']","Support corporate finance activities including budgeting, forecasting, and financial planning."
Operations Manager,Finance and Business,£22000,Leeds,"['Excel', 'Business Strategy', 'Quantitative Analysis']","Oversee daily operations of the organisation, ensuring efficiency and effectiveness to streamline processes."
Product Designer,Marketing and Creative,£30000,Bristol,"['Google Analytics', 'PPC Advertising', 'Graphic Design']","Design and develop new products, from concept to production. You will work on product specifications and testing."
Biomedical Scientist,Engineering and Science,£29000,Bristol,"['Regulatory Compliance', 'Product Development', 'Simulation Software']",Conduct research and analyse biological samples to support medical and clinical studies.
Investment Banking Analyst,Finance and Business,£25000,Sheffield,"['Analytical Skills', 'Risk Assessment', 'Reporting']",You will assist in the evaluation of investment opportunities and financial transactions. You must also be proficient in conducting market research and financial modeling.
Management Consultant,Administrative,£29000,Newcastle,"['Payroll Management', 'HR Information Systems', 'Conflict Resolution']",Analyse organisational practices and develop strategies to improve efficiency and effectiveness; then be able to provide recommendations for business improvements.
Operations Manager,Finance and Business,£27000,Liverpool,"['Regulatory Compliance', 'Financial Analysis', 'Budgeting']","Oversee daily operations of the organisation, ensuring efficiency and effectiveness to streamline processes."
Management Consultant,Administrative,£24000,Leeds,"['Communication', 'Talent Acquisition', 'Training and Development']",Analyse organisational practices and develop strategies to improve efficiency and effectiveness; then be able to provide recommendations for business improvements.
UI Designer,Technology and Data,£32000,Liverpool,"['Problem Solving', 'Docker', 'SQL']","Create user-friendly interfaces and enhance user experience for websites and applications, expertise in design tools like Sketch and Adobe XD is necessaary."
Financial Analyst,Finance and Business,£27000,Leeds,"['Financial Reporting', 'Excel', 'Budgeting']","Analyse financial data and create reports to support business decisions, and then develop financial models and forecasts to assess performance."
Marketing Executive,Marketing and Creative,£27000,Nottingham,"['Content Management Systems', 'Social Media Marketing', 'Digital Marketing']","Plan and execute marketing campaigns to promote products and services, through analysing market trends and tracking campaign performance."
Public Relations Officer,Marketing and Creative,£34000,London,"['PPC Advertising', 'Adobe Creative Suite', 'Content Management Systems']",Manage public relations activities to promote and protect the organisation's image with varying strategies.
Social Media Manager,Marketing and Creative,£24000,Sheffield,"['PPC Advertising', 'Email Marketing', 'User Research']","Manage social media accounts and create content to engage with followers, and also analyse social media metrics and develop strategies for growth."
Human Resources Assistant,Administrative,£33000,Cambridge,"['Client Management', 'Training and Development', 'HR Information Systems']","Support HR functions including recruitment, employee relations, and record-keeping."
Human Resources Assistant,Administrative,£32000,Nottingham,"['Onboarding', 'Communication', 'Conflict Resolution']","Support HR functions including recruitment, employee relations, and record-keeping."
Civil Engineer,Engineering and Science,£33000,Sheffield,"['Statistical Analysis', 'Mechanical Design', 'Prototyping']","Design and oversee construction projects such as roads and bridges, ensuring compliance with safety regulations and environmental standards."
Pharmaceutical Sales Representative,Engineering and Science,£27000,Sheffield,"['Regulatory Compliance', 'Mechanical Design', 'Project Management Software']",Promote and sell pharmaceutical products to healthcare professionals by providing product information and building relationships with clients.
Audit Associate,Finance and Business,£30000,Manchester,"['Financial Analysis', 'Market Research', 'Reporting']",Perform internal audits to ensure compliance with regulations and standards. You will also be able to review financial records and assess internal controls.
Business Analyst,Finance and Business,£30000,Newcastle,"['Financial Modeling', 'Budgeting', 'Analytical Skills']",Identify business needs and develop solutions to enhance processes and operations.
Health and Safety Advisor,Engineering and Science,£23000,Bristol,"['Problem Solving', 'Regulatory Compliance', 'Mechanical Design']",Develop and implement health and safety policies; conducting risk assessments and ensuring compliance with safety regulations.
Web Developer,Technology and Data,£29000,Manchester,"['Docker', 'ETL', 'Cloud Computing']","Build and maintain websites and web applications. You will have to be proficient in HTML, CSS and JavaScript."
Social Media Manager,Marketing and Creative,£32000,Bristol,"['Market Research', 'Brand Strategy', 'Adobe Creative Suite']","Manage social media accounts and create content to engage with followers, and also analyse social media metrics and develop strategies for growth."
Mechanical Engineer,Engineering and Science,£21000,Newcastle,"['CAD Software', 'Prototyping', 'Research Methodology']","Design machinery and equipment, and troubleshoot engineering issues."
IT Support Specialist,Technology and Data,£29000,Sheffield,"['Cloud Computing', 'Data Analysis', 'Machine Learning']",You will have to provide technical support and troubleshooting for hardware and software issues.
Teacher,Administrative,£21000,Nottingham,"['Onboarding', 'Employee Relations', 'Talent Acquisition']","Plan and deliver educational lessons to students. You will develop lesson plans, assess student performance, and provide effective feedback."
UI Designer,Technology and Data,£28000,Manchester,"['Data Visualisation', 'Data Analysis', 'Problem Solving']","Create user-friendly interfaces and enhance user experience for websites and applications, expertise in design tools like Sketch and Adobe XD is necessaary."
Graphic Designer,Marketing and Creative,£20000,Liverpool,"['Social Media Marketing', 'Adobe Creative Suite', 'User Research']",Design visual assets for print and digital media. You must be proficient in design software such as Adobe Photoshop and Illustrator.
Business Development Executive,Finance and Business,£31000,Sheffield,"['Analytical Skills', 'Regulatory Compliance', 'Project Management']","Identify and develop new business opportunities to drive growth, and build relationships with clients and partners to expand the business."
Electrical Engineer,Engineering and Science,£22000,Bristol,"['Mechanical Design', 'Project Management Software', 'Statistical Analysis']",Design and implement electrical systems and components for working on projects involving power generation and electronics.
Systems Analyst,Technology and Data,£32000,Newcastle,"['Cloud Computing', 'APIs', 'Big Data Technologies']",Evaluate and improve computer systems to enhance efficiency.
Data Analyst,Technology and Data,£23000,Sheffield,"['Machine Learning', 'Docker', 'Data Visualisation']","Analyse and interpret complex data sets to help organisations make informed decisions, utilising tools like SQL and other data sorting software."
Web Developer,Technology and Data,£29000,Newcastle,"['Machine Learning', 'Data Visualisation', 'ETL']","Build and maintain websites and web applications. You will have to be proficient in HTML, CSS and JavaScript."
Customer Service Manager,Administrative,£25000,Birmingham,"['Payroll Management', 'Organisational Skills', 'Client Management']",Oversee customer service operations to ensure high customer satisfaction. Manage customer service teams and resolve escalated issues.
Business Analyst,Finance and Business,£32000,Sheffield,"['Excel', 'Financial Forecasting', 'Financial Reporting']",Identify business needs and develop solutions to enhance processes and operations.
Mechanical Engineer,Engineering and Science,£26000,Nottingham,"['Data Analysis', 'CAD Software', 'Problem Solving']","Design machinery and equipment, and troubleshoot engineering issues."
Data Analyst,Technology and Data,£26000,Birmingham,"['Cloud Computing', 'Data Warehousing', 'Docker']","Analyse and interpret complex data sets to help organisations make informed decisions, utilising tools like SQL and other data sorting software."
Biomedical Scientist,Engineering and Science,£29000,Manchester,"['Engineering Design', 'Regulatory Compliance', 'Data Analysis']",Conduct research and analyse biological samples to support medical and clinical studies.
Biomedical Scientist,Engineering and Science,£20000,Liverpool,"['Prototyping', 'Mechanical Design', 'Simulation Software']",Conduct research and analyse biological samples to support medical and clinical studies.
Electrical Engineer,Engineering and Science,£25000,Leeds,"['CAD Software', 'Prototyping', 'Product Development']",Design and implement electrical systems and components for working on projects involving power generation and electronics.
Sales Executive,Marketing and Creative,£33000,Cambridge,"['Campaign Management', 'Email Marketing', 'User Research']",Must be able to develop and execute sales strategies to meet business objectives.
Event Coordinator,Marketing and Creative,£20000,Newcastle,"['Market Research', 'Analytics', 'SEO Optimisation']","Plan and execute events, ensuring all aspects run smoothly, managing event logistics and budgets."
Recruitment Consultant,Administrative,£22000,London,"['Employee Relations', 'Organisational Skills', 'Performance Appraisal Systems']","Manage the recruitment process to attract and hire top talent. Develop job descriptions, screen candidates, and conduct interviews."
Systems Analyst,Technology and Data,£35000,Newcastle,"['Python Programming', 'SQL', 'Django']",Evaluate and improve computer systems to enhance efficiency.
IT Support Specialist,Technology and Data,£26000,Sheffield,"['APIs', 'Machine Learning', 'Data Warehousing']",You will have to provide technical support and troubleshooting for hardware and software issues.
Financial Analyst,Finance and Business,£30000,Bristol,"['Analytical Skills', 'Market Research', 'Quantitative Analysis']","Analyse financial data and create reports to support business decisions, and then develop financial models and forecasts to assess performance."
Health and Safety Advisor,Engineering and Science,£34000,Cambridge,"['CAD Software', 'Engineering Design', 'Prototyping']",Develop and implement health and safety policies; conducting risk assessments and ensuring compliance with safety regulations.
Electrical Engineer,Engineering and Science,£23000,Nottingham,"['Technical Writing', 'Statistical Analysis', 'Product Development']",Design and implement electrical systems and components for working on projects involving power generation and electronics.
Teacher,Administrative,£27000,Manchester,"['Communication', 'Employee Relations', 'Client Management']","Plan and deliver educational lessons to students. You will develop lesson plans, assess student performance, and provide effective feedback."
Graphic Designer,Marketing and Creative,£25000,Birmingham,"['Digital Marketing', 'Content Creation', 'Content Management Systems']",Design visual assets for print and digital media. You must be proficient in design software such as Adobe Photoshop and Illustrator.
Nurse,Administrative,£27000,Liverpool,"['Onboarding', 'Office Management', 'Client Management']","Provide medical care and support to patients. Duties include conducting medical assessments, administering treatments, and collaborating with healthcare professionals."
Logistics Coordinator,Administrative,£31000,Newcastle,"['Payroll Management', 'Employee Relations', 'HR Information Systems']",Manage logistics and supply chain operations through coordinating shipments and tracking inventory.
Recruitment Consultant,Administrative,£30000,Birmingham,"['Client Management', 'Performance Appraisal Systems', 'Organisational Skills']","Manage the recruitment process to attract and hire top talent. Develop job descriptions, screen candidates, and conduct interviews."
Research Scientist,Engineering and Science,£27000,Nottingham,"['Finite Element Analysis', 'Lab Techniques', 'Product Development']",Conduct experiments and analyse data to advance scientific knowledge. You must be specialised in areas such as biology or physics.
Systems Analyst,Technology and Data,£35000,Cambridge,"['Data Analysis', 'Cloud Computing', 'Problem Solving']",Evaluate and improve computer systems to enhance efficiency.
Graphic Designer,Marketing and Creative,£24000,Newcastle,"['SEO Optimisation', 'Content Creation', 'Email Marketing']",Design visual assets for print and digital media. You must be proficient in design software such as Adobe Photoshop and Illustrator.
Biomedical Scientist,Engineering and Science,£30000,Nottingham,"['Regulatory Compliance', 'CAD Software', 'Problem Solving']",Conduct research and analyse biological samples to support medical and clinical studies.
Mechanical Engineer,Engineering and Science,£23000,Cambridge,"['Finite Element Analysis', 'Product Development', 'Prototyping']","Design machinery and equipment, and troubleshoot engineering issues."
Technical Support Engineer,Technology and Data,£30000,Bristol,"['Data Analysis', 'Python Programming', 'Cloud Computing']","You should be able to diagnose and resolve technical issues, providing support to clients and customers."
Digital Marketing Specialist,Marketing and Creative,£24000,Liverpool,"['Email Marketing', 'Brand Strategy', 'Market Research']","Implement digital marketing strategies, including SEO, PPC, and social media."
Software Developer,Technology and Data,£33000,Birmingham,"['Big Data Technologies', 'SQL', 'JavaScript']","Develop and maintain software applications and systems, and write clean code in languages such as Python and JavaScript."
Supply Chain Analyst,Finance and Business,£21000,Nottingham,"['Regulatory Compliance', 'Reporting', 'Financial Reporting']",You will be asked to analyse and optimise supply chain processes to improve efficiency and reduce costs.
Health and Safety Advisor,Engineering and Science,£25000,Liverpool,"['Technical Writing', 'Project Management Software', 'Problem Solving']",Develop and implement health and safety policies; conducting risk assessments and ensuring compliance with safety regulations.
Operations Manager,Finance and Business,£27000,Leeds,"['Financial Reporting', 'Financial Modeling', 'Financial Analysis']","Oversee daily operations of the organisation, ensuring efficiency and effectiveness to streamline processes."
Health and Safety Advisor,Engineering and Science,£21000,Cambridge,"['CAD Software', 'Research Methodology', 'Mechanical Design']",Develop and implement health and safety policies; conducting risk assessments and ensuring compliance with safety regulations.
Digital Marketing Specialist,Marketing and Creative,£25000,Manchester,"['Brand Strategy', 'Graphic Design', 'PPC Advertising']","Implement digital marketing strategies, including SEO, PPC, and social media."
Sales Executive,Marketing and Creative,£34000,Manchester,"['Adobe Creative Suite', 'SEO Optimisation', 'Email Marketing']",Must be able to develop and execute sales strategies to meet business objectives.
Supply Chain Analyst,Finance and Business,£24000,Cambridge,"['Market Research', 'Financial Analysis', 'Business Strategy']",You will be asked to analyse and optimise supply chain processes to improve efficiency and reduce costs.
Event Coordinator,Marketing and Creative,£23000,Cambridge,"['SEO Optimisation', 'Digital Marketing', 'Content Management Systems']","Plan and execute events, ensuring all aspects run smoothly, managing event logistics and budgets."
Pharmaceutical Sales Representative,Engineering and Science,£29000,Sheffield,"['Technical Writing', 'Statistical Analysis', 'Finite Element Analysis']",Promote and sell pharmaceutical products to healthcare professionals by providing product information and building relationships with clients.
Mechanical Engineer,Engineering and Science,£23000,Nottingham,"['Simulation Software', 'Data Analysis', 'Problem Solving']","Design machinery and equipment, and troubleshoot engineering issues."
Risk Analyst,Finance and Business,£28000,Cambridge,"['Financial Forecasting', 'Financial Reporting', 'Bookkeeping']",You must be able to identify and assess potential risks to the organisation.
Technical Support Engineer,Technology and Data,£25000,Newcastle,"['Machine Learning', 'APIs', 'Data Warehousing']","You should be able to diagnose and resolve technical issues, providing support to clients and customers."
Software Developer,Technology and Data,£28000,London,"['ETL', 'Python Programming', 'Cloud Computing']","Develop and maintain software applications and systems, and write clean code in languages such as Python and JavaScript."
Digital Marketing Specialist,Marketing and Creative,£32000,Liverpool,"['Brand Strategy', 'Google Analytics', 'Adobe Creative Suite']","Implement digital marketing strategies, including SEO, PPC, and social media."
Legal Assistant,Administrative,£33000,London,"['Recruitment', 'Employee Relations', 'Office Management']",Provide administrative support to legal teams and assist with legal research and document preparation
Human Resources Assistant,Administrative,£21000,Manchester,"['Client Management', 'Compliance Management', 'HR Information Systems']","Support HR functions including recruitment, employee relations, and record-keeping."
UI Designer,Technology and Data,£20000,Liverpool,"['Big Data Technologies', 'Data Analysis', 'Data Visualisation']","Create user-friendly interfaces and enhance user experience for websites and applications, expertise in design tools like Sketch and Adobe XD is necessaary."
UI Designer,Technology and Data,£31000,Sheffield,"['Cloud Computing', 'Data Warehousing', 'Data Analysis']","Create user-friendly interfaces and enhance user experience for websites and applications, expertise in design tools like Sketch and Adobe XD is necessaary."
Mechanical Engineer,Engineering and Science,£23000,Liverpool,"['Technical Writing', 'Finite Element Analysis', 'Project Management Software']","Design machinery and equipment, and troubleshoot engineering issues."
Biomedical Scientist,Engineering and Science,£26000,Sheffield,"['Regulatory Compliance', 'Product Development', 'Simulation Software']",Conduct research and analyse biological samples to support medical and clinical studies.
Mechanical Engineer,Engineering and Science,£28000,Leeds,"['Data Analysis', 'Regulatory Compliance', 'CAD Software']","Design machinery and equipment, and troubleshoot engineering issues."
Civil Engineer,Engineering and Science,£27000,Nottingham,"['Simulation Software', 'Finite Element Analysis', 'Engineering Design']","Design and oversee construction projects such as roads and bridges, ensuring compliance with safety regulations and environmental standards."
Recruitment Consultant,Administrative,£34000,Manchester,"['Payroll Management', 'HR Information Systems', 'Talent Acquisition']","Manage the recruitment process to attract and hire top talent. Develop job descriptions, screen candidates, and conduct interviews."
Biomedical Scientist,Engineering and Science,£31000,Birmingham,"['Problem Solving', 'Regulatory Compliance', 'Project Management Software']",Conduct research and analyse biological samples to support medical and clinical studies.
Electrical Engineer,Engineering and Science,£22000,Bristol,"['Research Methodology', 'Engineering Design', 'Problem Solving']",Design and implement electrical systems and components for working on projects involving power generation and electronics.
Logistics Coordinator,Administrative,£35000,Liverpool,"['Recruitment', 'Organisational Skills', 'Office Management']",Manage logistics and supply chain operations through coordinating shipments and tracking inventory.
Data Analyst,Technology and Data,£30000,Birmingham,"['SQL', 'Python Programming', 'Docker']","Analyse and interpret complex data sets to help organisations make informed decisions, utilising tools like SQL and other data sorting software."
Operations Manager,Finance and Business,£23000,Cambridge,"['Business Strategy', 'Project Management', 'Financial Forecasting']","Oversee daily operations of the organisation, ensuring efficiency and effectiveness to streamline processes."
Supply Chain Analyst,Finance and Business,£31000,Sheffield,"['Financial Analysis', 'Bookkeeping', 'Business Strategy']",You will be asked to analyse and optimise supply chain processes to improve efficiency and reduce costs.
Engineering Graduate,Engineering and Science,£21000,Cambridge,"['Problem Solving', 'Statistical Analysis', 'Engineering Design']",Assist in engineering projects and gain hands-on experience by supporting senior engineers in design and testing.
Sales Executive,Marketing and Creative,£25000,London,"['Social Media Marketing', 'Brand Strategy', 'Email Marketing']",Must be able to develop and execute sales strategies to meet business objectives.
Marketing Executive,Marketing and Creative,£27000,London,"['Social Media Marketing', 'Market Research', 'SEO Optimisation']","Plan and execute marketing campaigns to promote products and services, through analysing market trends and tracking campaign performance."
Teacher,Administrative,£22000,Manchester,"['HR Information Systems', 'Talent Acquisition', 'Organisational Skills']","Plan and deliver educational lessons to students. You will develop lesson plans, assess student performance, and provide effective feedback."
Investment Banking Analyst,Finance and Business,£24000,Leeds,"['Regulatory Compliance', 'Budgeting', 'Financial Reporting']",You will assist in the evaluation of investment opportunities and financial transactions. You must also be proficient in conducting market research and financial modeling.
Pharmaceutical Sales Representative,Engineering and Science,£22000,Bristol,"['Project Management Software', 'Engineering Design', 'Finite Element Analysis']",Promote and sell pharmaceutical products to healthcare professionals by providing product information and building relationships with clients.
Product Designer,Marketing and Creative,£21000,Manchester,"['Analytics', 'PPC Advertising', 'Campaign Management']","Design and develop new products, from concept to production. You will work on product specifications and testing."
Digital Marketing Specialist,Marketing and Creative,£33000,Manchester,"['Campaign Management', 'Email Marketing', 'Digital Marketing']","Implement digital marketing strategies, including SEO, PPC, and social media."
Civil Engineer,Engineering and Science,£20000,Sheffield,"['Mechanical Design', 'Finite Element Analysis', 'CAD Software']","Design and oversee construction projects such as roads and bridges, ensuring compliance with safety regulations and environmental standards."
Business Development Executive,Finance and Business,£30000,Bristol,"['Project Management', 'Regulatory Compliance', 'Financial Reporting']","Identify and develop new business opportunities to drive growth, and build relationships with clients and partners to expand the business."
Health and Safety Advisor,Engineering and Science,£25000,Birmingham,"['Mechanical Design', 'Problem Solving', 'Lab Techniques']",Develop and implement health and safety policies; conducting risk assessments and ensuring compliance with safety regulations.
Financial Analyst,Finance and Business,£24000,Sheffield,"['Reporting', 'Business Strategy', 'Financial Modeling']","Analyse financial data and create reports to support business decisions, and then develop financial models and forecasts to assess performance."
Operations Manager,Finance and Business,£33000,Cambridge,"['Financial Reporting', 'Market Research', 'Budgeting']","Oversee daily operations of the organisation, ensuring efficiency and effectiveness to streamline processes."
Event Coordinator,Marketing and Creative,£27000,Nottingham,"['Content Creation', 'Digital Marketing', 'Brand Strategy']","Plan and execute events, ensuring all aspects run smoothly, managing event logistics and budgets."
Audit Associate,Finance and Business,£21000,Nottingham,"['Business Strategy', 'Budgeting', 'Excel']",Perform internal audits to ensure compliance with regulations and standards. You will also be able to review financial records and assess internal controls.
Legal Assistant,Administrative,£20000,Newcastle,"['Employee Relations', 'Training and Development', 'Communication']",Provide administrative support to legal teams and assist with legal research and document preparation
Management Consultant,Administrative,£25000,London,"['HR Information Systems', 'Leadership', 'Payroll Management']",Analyse organisational practices and develop strategies to improve efficiency and effectiveness; then be able to provide recommendations for business improvements.
Risk Analyst,Finance and Business,£31000,Newcastle,"['Market Research', 'Regulatory Compliance', 'Project Management']",You must be able to identify and assess potential risks to the organisation.
Risk Analyst,Finance and Business,£32000,Nottingham,"['Reporting', 'Regulatory Compliance', 'Market Research']",You must be able to identify and assess potential risks to the organisation.
Engineering Graduate,Engineering and Science,£27000,Newcastle,"['Lab Techniques', 'Simulation Software', 'Project Management Software']",Assist in engineering projects and gain hands-on experience by supporting senior engineers in design and testing.
Financial Analyst,Finance and Business,£25000,London,"['Project Management', 'Financial Analysis', 'Excel']","Analyse financial data and create reports to support business decisions, and then develop financial models and forecasts to assess performance."
Systems Analyst,Technology and Data,£20000,Newcastle,"['Problem Solving', 'Docker', 'Data Visualisation']",Evaluate and improve computer systems to enhance efficiency.
Legal Assistant,Administrative,£29000,Liverpool,"['Office Management', 'HR Information Systems', 'Organisational Skills']",Provide administrative support to legal teams and assist with legal research and document preparation
Investment Banking Analyst,Finance and Business,£26000,Nottingham,"['Project Management', 'Budgeting', 'Financial Modeling']",You will assist in the evaluation of investment opportunities and financial transactions. You must also be proficient in conducting market research and financial modeling.
Marketing Executive,Marketing and Creative,£34000,London,"['PPC Advertising', 'Content Creation', 'Social Media Marketing']","Plan and execute marketing campaigns to promote products and services, through analysing market trends and tracking campaign performance."
Content Writer,Marketing and Creative,£27000,Manchester,"['Email Marketing', 'Social Media Marketing', 'User Research']","Create engaging written content for various platforms, including blogs, websites, and various social media platforms."
Investment Banking Analyst,Finance and Business,£31000,Newcastle,"['Market Research', 'Quantitative Analysis', 'Risk Assessment']",You will assist in the evaluation of investment opportunities and financial transactions. You must also be proficient in conducting market research and financial modeling.
Mechanical Engineer,Engineering and Science,£30000,Sheffield,"['Prototyping', 'Product Development', 'Simulation Software']","Design machinery and equipment, and troubleshoot engineering issues."
Public Relations Officer,Marketing and Creative,£24000,Sheffield,"['SEO Optimisation', 'Graphic Design', 'Digital Marketing']",Manage public relations activities to promote and protect the organisation's image with varying strategies.
Software Developer,Technology and Data,£27000,Newcastle,"['Data Visualisation', 'Python Programming', 'Big Data Technologies']","Develop and maintain software applications and systems, and write clean code in languages such as Python and JavaScript."
Teacher,Administrative,£22000,Nottingham,"['Talent Acquisition', 'Leadership', 'Office Management']","Plan and deliver educational lessons to students. You will develop lesson plans, assess student performance, and provide effective feedback."
Digital Marketing Specialist,Marketing and Creative,£32000,Sheffield,"['Market Research', 'PPC Advertising', 'Content Management Systems']","Implement digital marketing strategies, including SEO, PPC, and social media."
Operations Manager,Finance and Business,£20000,Sheffield,"['Business Strategy', 'Market Research', 'Regulatory Compliance']","Oversee daily operations of the organisation, ensuring efficiency and effectiveness to streamline processes."
Web Developer,Technology and Data,£21000,Bristol,"['JavaScript', 'APIs', 'Big Data Technologies']","Build and maintain websites and web applications. You will have to be proficient in HTML, CSS and JavaScript."
Risk Analyst,Finance and Business,£35000,Nottingham,"['Financial Reporting', 'Business Strategy', 'Financial Modeling']",You must be able to identify and assess potential risks to the organisation.
Public Relations Officer,Marketing and Creative,£22000,Liverpool,"['PPC Advertising', 'Digital Marketing', 'Google Analytics']",Manage public relations activities to promote and protect the organisation's image with varying strategies.
Risk Analyst,Finance and Business,£25000,London,"['Quantitative Analysis', 'Financial Reporting', 'Financial Forecasting']",You must be able to identify and assess potential risks to the organisation.
Data Analyst,Technology and Data,£22000,Sheffield,"['Version Control', 'ETL', 'Machine Learning']","Analyse and interpret complex data sets to help organisations make informed decisions, utilising tools like SQL and other data sorting software."
Quantity Surveyor,Engineering and Science,£33000,Birmingham,"['Product Development', 'Project Management Software', 'Research Methodology']","Manage costs and budgets for construction projects. Conduct cost estimation, financial reporting, and contract administration."
Technical Support Engineer,Technology and Data,£33000,Cambridge,"['APIs', 'Problem Solving', 'Machine Learning']","You should be able to diagnose and resolve technical issues, providing support to clients and customers."
Customer Service Manager,Administrative,£32000,Liverpool,"['Office Management', 'Leadership', 'Training and Development']",Oversee customer service operations to ensure high customer satisfaction. Manage customer service teams and resolve escalated issues.
Recruitment Consultant,Administrative,£21000,Nottingham,"['Office Management', 'HR Information Systems', 'Leadership']","Manage the recruitment process to attract and hire top talent. Develop job descriptions, screen candidates, and conduct interviews."
Software Developer,Technology and Data,£34000,Sheffield,"['Cloud Computing', 'Machine Learning', 'Problem Solving']","Develop and maintain software applications and systems, and write clean code in languages such as Python and JavaScript."
Recruitment Consultant,Administrative,£30000,Manchester,"['Recruitment', 'Payroll Management', 'Leadership']","Manage the recruitment process to attract and hire top talent. Develop job descriptions, screen candidates, and conduct interviews."
