JobTitle,JobCategory,Salary,Location,SkillsRequired,JobSummary
Human Resources Assistant,Administrative,£35000,Leeds,"['Performance Appraisal Systems', 'Compliance Management', 'Communication']","Support HR functions including recruitment, employee relations, and record-keeping."
Quantity Surveyor,Engineering and Science,£21000,London,"['Project Management Software', 'Engineering Design', 'Finite Element Analysis']","Manage costs and budgets for construction projects. Conduct cost estimation, financial reporting, and contract administration."
Graphic Designer,Marketing and Creative,£24000,Leeds,"['Analytics', 'Graphic Design', 'Adobe Creative Suite']",Design visual assets for print and digital media. You must be proficient in design software such as Adobe Photoshop and Illustrator.
Engineering Graduate,Engineering and Science,£28000,Nottingham,"['Statistical Analysis', 'Regulatory Compliance', 'Problem Solving']",Assist in engineering projects and gain hands-on experience by supporting senior engineers in design and testing.
Web Developer,Technology and Data,£30000,Liverpool,"['Big Data Technologies', 'JavaScript', 'Python Programming']","Build and maintain websites and web applications. You will have to be proficient in HTML, CSS and JavaScript."
Health and Safety Advisor,Engineering and Science,£27000,London,"['Problem Solving', 'Finite Element Analysis', 'Research Methodology']",Develop and implement health and safety policies; conducting risk assessments and ensuring compliance with safety regulations.
Data Scientist,Technology and Data,£27000,Nottingham,"['APIs', 'JavaScript', 'Docker']",Apply statistical analysis and machine learning techniques to interpret data and provide actionable insights. Experience with tools such as Python and R is preferred.
Event Coordinator,Marketing and Creative,£25000,Cambridge,"['Brand Strategy', 'Content Management Systems', 'Market Research']","Plan and execute events, ensuring all aspects run smoothly, managing event logistics and budgets."
Public Relations Officer,Marketing and Creative,£28000,Nottingham,"['Content Management Systems', 'Campaign Management', 'PPC Advertising']",Manage public relations activities to promote and protect the organisation's image with varying strategies.
Human Resources Assistant,Administrative,£29000,Sheffield,"['Communication', 'Office Management', 'Onboarding']","Support HR functions including recruitment, employee relations, and record-keeping."
Data Analyst,Technology and Data,£32000,Cambridge,"['Problem Solving', 'Data Analysis', 'APIs']","Analyse and interpret complex data sets to help organisations make informed decisions, utilising tools like SQL and other data sorting software."
Business Analyst,Finance and Business,£22000,Cambridge,"['Excel', 'Regulatory Compliance', 'Financial Reporting']",Identify business needs and develop solutions to enhance processes and operations.
Data Analyst,Technology and Data,£21000,Bristol,"['JavaScript', 'Data Visualisation', 'Version Control']","Analyse and interpret complex data sets to help organisations make informed decisions, utilising tools like SQL and other data sorting software."
Business Development Executive,Finance and Business,£21000,Nottingham,"['Business Strategy', 'Market Research', 'Financial Analysis']","Identify and develop new business opportunities to drive growth, and build relationships with clients and partners to expand the business."
Data Analyst,Technology and Data,£30000,London,"['Problem Solving', 'Version Control', 'SQL']","Analyse and interpret complex data sets to help organisations make informed decisions, utilising tools like SQL and other data sorting software."
Pharmaceutical Sales Representative,Engineering and Science,£25000,Bristol,"['Simulation Software', 'Regulatory Compliance', 'Engineering Design']",Promote and sell pharmaceutical products to healthcare professionals by providing product information and building relationships with clients.
Recruitment Consultant,Administrative,£29000,Cambridge,"['Performance Appraisal Systems', 'Recruitment', 'Communication']","Manage the recruitment process to attract and hire top talent. Develop job descriptions, screen candidates, and conduct interviews."
Pharmaceutical Sales Representative,Engineering and Science,£24000,Nottingham,"['Lab Techniques', 'Data Analysis', 'CAD Software']",Promote and sell pharmaceutical products to healthcare professionals by providing product information and building relationships with clients.
Biomedical Scientist,Engineering and Science,£31000,Newcastle,"['Research Methodology', 'Prototyping', 'Mechanical Design']",Conduct research and analyse biological samples to support medical and clinical studies.
UI Designer,Technology and Data,£23000,Cambridge,"['APIs', 'Python Programming', 'Data Visualisation']","Create user-friendly interfaces and enhance user experience for websites and applications, expertise in design tools like Sketch and Adobe XD is necessaary."
Customer Service Manager,Administrative,£35000,Nottingham,"['Performance Appraisal Systems', 'Conflict Resolution', 'Employee Relations']",Oversee customer service operations to ensure high customer satisfaction. Manage customer service teams and resolve escalated issues.
Electrical Engineer,Engineering and Science,£21000,Birmingham,"['Simulation Software', 'Engineering Design', 'CAD Software']",Design and implement electrical systems and components for working on projects involving power generation and electronics.
Management Consultant,Administrative,£21000,Newcastle,"['Payroll Management', 'Client Management', 'Leadership']",Analyse organisational practices and develop strategies to improve efficiency and effectiveness; then be able to provide recommendations for business improvements.
Graphic Designer,Marketing and Creative,£27000,London,"['Content Management Systems', 'Brand Strategy', 'User Research']",Design visual assets for print and digital media. You must be proficient in design software such as Adobe Photoshop and Illustrator.
Pharmaceutical Sales Representative,Engineering and Science,£31000,Birmingham,"['Data Analysis', 'Statistical Analysis', 'Simulation Software']",Promote and sell pharmaceutical products to healthcare professionals by providing product information and building relationships with clients.
Management Consultant,Administrative,£24000,Bristol,"['Recruitment', 'Employee Relations', 'Payroll Management']",Analyse organisational practices and develop strategies to improve efficiency and effectiveness; then be able to provide recommendations for business improvements.
Content Writer,Marketing and Creative,£26000,Bristol,"['Social Media Marketing', 'Content Creation', 'Graphic Design']","Create engaging written content for various platforms, including blogs, websites, and various social media platforms."
Sales Executive,Marketing and Creative,£28000,Sheffield,"['Social Media Marketing', 'Market Research', 'Graphic Design']",Must be able to develop and execute sales strategies to meet business objectives.
Insurance Underwriter,Administrative,£30000,Sheffield,"['Communication', 'Training and Development', 'Compliance Management']",Evaluate insurance applications and determine coverage terms. Assess risk factors and decide on policy approval and pricing.
Web Developer,Technology and Data,£28000,Newcastle,"['Python Programming', 'SQL', 'Big Data Technologies']","Build and maintain websites and web applications. You will have to be proficient in HTML, CSS and JavaScript."
Engineering Graduate,Engineering and Science,£24000,Liverpool,"['Problem Solving', 'Data Analysis', 'Simulation Software']",Assist in engineering projects and gain hands-on experience by supporting senior engineers in design and testing.
Insurance Underwriter,Administrative,£34000,Leeds,"['Employee Relations', 'Payroll Management', 'Talent Acquisition']",Evaluate insurance applications and determine coverage terms. Assess risk factors and decide on policy approval and pricing.
Management Consultant,Administrative,£30000,Sheffield,"['Office Management', 'Employee Relations', 'Leadership']",Analyse organisational practices and develop strategies to improve efficiency and effectiveness; then be able to provide recommendations for business improvements.
Customer Service Manager,Administrative,£20000,Cambridge,"['Talent Acquisition', 'HR Information Systems', 'Onboarding']",Oversee customer service operations to ensure high customer satisfaction. Manage customer service teams and resolve escalated issues.
Civil Engineer,Engineering and Science,£31000,London,"['Product Development', 'Data Analysis', 'Lab Techniques']","Design and oversee construction projects such as roads and bridges, ensuring compliance with safety regulations and environmental standards."
Engineering Graduate,Engineering and Science,£25000,Sheffield,"['Research Methodology', 'Finite Element Analysis', 'Technical Writing']",Assist in engineering projects and gain hands-on experience by supporting senior engineers in design and testing.
Quantity Surveyor,Engineering and Science,£28000,Cambridge,"['Simulation Software', 'Product Development', 'Problem Solving']","Manage costs and budgets for construction projects. Conduct cost estimation, financial reporting, and contract administration."
Data Analyst,Technology and Data,£20000,London,"['Django', 'APIs', 'SQL']","Analyse and interpret complex data sets to help organisations make informed decisions, utilising tools like SQL and other data sorting software."
Electrical Engineer,Engineering and Science,£24000,Leeds,"['Prototyping', 'Project Management Software', 'Research Methodology']",Design and implement electrical systems and components for working on projects involving power generation and electronics.
Technical Support Engineer,Technology and Data,£28000,Newcastle,"['Python Programming', 'Machine Learning', 'Version Control']","You should be able to diagnose and resolve technical issues, providing support to clients and customers."
Software Developer,Technology and Data,£30000,Cambridge,"['Python Programming', 'Cloud Computing', 'Django']","Develop and maintain software applications and systems, and write clean code in languages such as Python and JavaScript."
Content Writer,Marketing and Creative,£27000,Cambridge,"['Email Marketing', 'Social Media Marketing', 'Market Research']","Create engaging written content for various platforms, including blogs, websites, and various social media platforms."
Marketing Executive,Marketing and Creative,£33000,Liverpool,"['Email Marketing', 'Google Analytics', 'Social Media Marketing']","Plan and execute marketing campaigns to promote products and services, through analysing market trends and tracking campaign performance."
Insurance Underwriter,Administrative,£27000,Liverpool,"['Compliance Management', 'Recruitment', 'HR Information Systems']",Evaluate insurance applications and determine coverage terms. Assess risk factors and decide on policy approval and pricing.
Social Media Manager,Marketing and Creative,£35000,Newcastle,"['Graphic Design', 'Adobe Creative Suite', 'Google Analytics']","Manage social media accounts and create content to engage with followers, and also analyse social media metrics and develop strategies for growth."
Insurance Underwriter,Administrative,£29000,Cambridge,"['Conflict Resolution', 'Client Management', 'Recruitment']",Evaluate insurance applications and determine coverage terms. Assess risk factors and decide on policy approval and pricing.
Financial Analyst,Finance and Business,£24000,Bristol,"['Financial Modeling', 'Project Management', 'Bookkeeping']","Analyse financial data and create reports to support business decisions, and then develop financial models and forecasts to assess performance."
Graphic Designer,Marketing and Creative,£30000,Leeds,"['Market Research', 'Digital Marketing', 'SEO Optimisation']",Design visual assets for print and digital media. You must be proficient in design software such as Adobe Photoshop and Illustrator.
Data Scientist,Technology and Data,£28000,Leeds,"['Data Analysis', 'APIs', 'ETL']",Apply statistical analysis and machine learning techniques to interpret data and provide actionable insights. Experience with tools such as Python and R is preferred.
Systems Analyst,Technology and Data,£26000,Liverpool,"['Data Analysis', 'Problem Solving', 'Data Visualisation']",Evaluate and improve computer systems to enhance efficiency.
Mechanical Engineer,Engineering and Science,£34000,Manchester,"['Simulation Software', 'Lab Techniques', 'Research Methodology']","Design machinery and equipment, and troubleshoot engineering issues."
Insurance Underwriter,Administrative,£22000,Liverpool,"['Leadership', 'Payroll Management', 'Organisational Skills']",Evaluate insurance applications and determine coverage terms. Assess risk factors and decide on policy approval and pricing.
Technical Support Engineer,Technology and Data,£25000,Bristol,"['Machine Learning', 'Cloud Computing', 'Django']","You should be able to diagnose and resolve technical issues, providing support to clients and customers."
Operations Manager,Finance and Business,£35000,Nottingham,"['Financial Reporting', 'Market Research', 'Project Management']","Oversee daily operations of the organisation, ensuring efficiency and effectiveness to streamline processes."
Public Relations Officer,Marketing and Creative,£27000,Newcastle,"['Digital Marketing', 'Analytics', 'Market Research']",Manage public relations activities to promote and protect the organisation's image with varying strategies.
Financial Analyst,Finance and Business,£29000,Manchester,"['Reporting', 'Budgeting', 'Financial Reporting']","Analyse financial data and create reports to support business decisions, and then develop financial models and forecasts to assess performance."
Legal Assistant,Administrative,£21000,Birmingham,"['Recruitment', 'Training and Development', 'Employee Relations']",Provide administrative support to legal teams and assist with legal research and document preparation
Marketing Executive,Marketing and Creative,£21000,Manchester,"['Content Creation', 'Graphic Design', 'Google Analytics']","Plan and execute marketing campaigns to promote products and services, through analysing market trends and tracking campaign performance."
Nurse,Administrative,£33000,Bristol,"['Onboarding', 'Leadership', 'Payroll Management']","Provide medical care and support to patients. Duties include conducting medical assessments, administering treatments, and collaborating with healthcare professionals."
Corporate Finance Analyst,Finance and Business,£25000,Sheffield,"['Regulatory Compliance', 'Financial Analysis', 'Analytical Skills']","Support corporate finance activities including budgeting, forecasting, and financial planning."
Corporate Finance Analyst,Finance and Business,£24000,Liverpool,"['Bookkeeping', 'Financial Modeling', 'Regulatory Compliance']","Support corporate finance activities including budgeting, forecasting, and financial planning."
Business Development Executive,Finance and Business,£29000,Birmingham,"['Bookkeeping', 'Analytical Skills', 'Project Management']","Identify and develop new business opportunities to drive growth, and build relationships with clients and partners to expand the business."
Product Designer,Marketing and Creative,£34000,Cambridge,"['Email Marketing', 'Content Creation', 'Campaign Management']","Design and develop new products, from concept to production. You will work on product specifications and testing."
Recruitment Consultant,Administrative,£24000,Liverpool,"['Employee Relations', 'Leadership', 'Recruitment']","Manage the recruitment process to attract and hire top talent. Develop job descriptions, screen candidates, and conduct interviews."
Customer Service Manager,Administrative,£20000,London,"['Employee Relations', 'Compliance Management', 'Performance Appraisal Systems']",Oversee customer service operations to ensure high customer satisfaction. Manage customer service teams and resolve escalated issues.
Data Scientist,Technology and Data,£34000,Cambridge,"['SQL', 'Machine Learning', 'Data Visualisation']",Apply statistical analysis and machine learning techniques to interpret data and provide actionable insights. Experience with tools such as Python and R is preferred.
Audit Associate,Finance and Business,£25000,Manchester,"['Excel', 'Analytical Skills', 'Regulatory Compliance']",Perform internal audits to ensure compliance with regulations and standards. You will also be able to review financial records and assess internal controls.
Data Scientist,Technology and Data,£24000,Liverpool,"['Docker', 'Data Warehousing', 'Django']",Apply statistical analysis and machine learning techniques to interpret data and provide actionable insights. Experience with tools such as Python and R is preferred.
Financial Analyst,Finance and Business,£32000,Bristol,"['Reporting', 'Budgeting', 'Analytical Skills']","Analyse financial data and create reports to support business decisions, and then develop financial models and forecasts to assess performance."
Investment Banking Analyst,Finance and Business,£23000,London,"['Bookkeeping', 'Reporting', 'Financial Forecasting']",You will assist in the evaluation of investment opportunities and financial transactions. You must also be proficient in conducting market research and financial modeling.
Human Resources Assistant,Administrative,£26000,Sheffield,"['Employee Relations', 'Conflict Resolution', 'Office Management']","Support HR functions including recruitment, employee relations, and record-keeping."
Operations Manager,Finance and Business,£29000,Birmingham,"['Regulatory Compliance', 'Risk Assessment', 'Reporting']","Oversee daily operations of the organisation, ensuring efficiency and effectiveness to streamline processes."
Civil Engineer,Engineering and Science,£28000,Birmingham,"['Statistical Analysis', 'Research Methodology', 'Engineering Design']","Design and oversee construction projects such as roads and bridges, ensuring compliance with safety regulations and environmental standards."
Logistics Coordinator,Administrative,£32000,Liverpool,"['Client Management', 'Recruitment', 'Payroll Management']",Manage logistics and supply chain operations through coordinating shipments and tracking inventory.
Content Writer,Marketing and Creative,£24000,Liverpool,"['Analytics', 'Content Management Systems', 'Brand Strategy']","Create engaging written content for various platforms, including blogs, websites, and various social media platforms."
UI Designer,Technology and Data,£22000,Manchester,"['Django', 'Docker', 'Data Analysis']","Create user-friendly interfaces and enhance user experience for websites and applications, expertise in design tools like Sketch and Adobe XD is necessaary."
Teacher,Administrative,£25000,Cambridge,"['Conflict Resolution', 'Performance Appraisal Systems', 'Talent Acquisition']","Plan and deliver educational lessons to students. You will develop lesson plans, assess student performance, and provide effective feedback."
Financial Analyst,Finance and Business,£29000,Manchester,"['Financial Reporting', 'Financial Modeling', 'Project Management']","Analyse financial data and create reports to support business decisions, and then develop financial models and forecasts to assess performance."
Management Consultant,Administrative,£23000,Sheffield,"['Payroll Management', 'Onboarding', 'Client Management']",Analyse organisational practices and develop strategies to improve efficiency and effectiveness; then be able to provide recommendations for business improvements.
Teacher,Administrative,£30000,Nottingham,"['Employee Relations', 'Compliance Management', 'Office Management']","Plan and deliver educational lessons to students. You will develop lesson plans, assess student performance, and provide effective feedback."
Supply Chain Analyst,Finance and Business,£32000,Cambridge,"['Financial Modeling', 'Financial Analysis', 'Excel']",You will be asked to analyse and optimise supply chain processes to improve efficiency and reduce costs.
Engineering Graduate,Engineering and Science,£35000,Manchester,"['Prototyping', 'Product Development', 'Statistical Analysis']",Assist in engineering projects and gain hands-on experience by supporting senior engineers in design and testing.
Pharmaceutical Sales Representative,Engineering and Science,£22000,London,"['Project Management Software', 'Research Methodology', 'Statistical Analysis']",Promote and sell pharmaceutical products to healthcare professionals by providing product information and building relationships with clients.
Graphic Designer,Marketing and Creative,£34000,Leeds,"['PPC Advertising', 'Digital Marketing', 'Social Media Marketing']",Design visual assets for print and digital media. You must be proficient in design software such as Adobe Photoshop and Illustrator.
Quantity Surveyor,Engineering and Science,£21000,Bristol,"['Statistical Analysis', 'Regulatory Compliance', 'Data Analysis']","Manage costs and budgets for construction projects. Conduct cost estimation, financial reporting, and contract administration."
Management Consultant,Administrative,£26000,Bristol,"['HR Information Systems', 'Employee Relations', 'Communication']",Analyse organisational practices and develop strategies to improve efficiency and effectiveness; then be able to provide recommendations for business improvements.
Recruitment Consultant,Administrative,£29000,Newcastle,"['Compliance Management', 'Office Management', 'Training and Development']","Manage the recruitment process to attract and hire top talent. Develop job descriptions, screen candidates, and conduct interviews."
Operations Manager,Finance and Business,£29000,Birmingham,"['Financial Modeling', 'Quantitative Analysis', 'Risk Assessment']","Oversee daily operations of the organisation, ensuring efficiency and effectiveness to streamline processes."
Marketing Executive,Marketing and Creative,£32000,London,"['Adobe Creative Suite', 'Analytics', 'Brand Strategy']","Plan and execute marketing campaigns to promote products and services, through analysing market trends and tracking campaign performance."
Recruitment Consultant,Administrative,£32000,Bristol,"['Training and Development', 'Employee Relations', 'HR Information Systems']","Manage the recruitment process to attract and hire top talent. Develop job descriptions, screen candidates, and conduct interviews."
Investment Banking Analyst,Finance and Business,£34000,Birmingham,"['Risk Assessment', 'Business Strategy', 'Regulatory Compliance']",You will assist in the evaluation of investment opportunities and financial transactions. You must also be proficient in conducting market research and financial modeling.
IT Support Specialist,Technology and Data,£26000,Nottingham,"['JavaScript', 'Data Warehousing', 'Django']",You will have to provide technical support and troubleshooting for hardware and software issues.
Software Developer,Technology and Data,£24000,London,"['Django', 'Problem Solving', 'Data Visualisation']","Develop and maintain software applications and systems, and write clean code in languages such as Python and JavaScript."
Operations Manager,Finance and Business,£28000,Manchester,"['Reporting', 'Budgeting', 'Project Management']","Oversee daily operations of the organisation, ensuring efficiency and effectiveness to streamline processes."
IT Support Specialist,Technology and Data,£29000,Liverpool,"['Data Analysis', 'Data Warehousing', 'Problem Solving']",You will have to provide technical support and troubleshooting for hardware and software issues.
Supply Chain Analyst,Finance and Business,£25000,London,"['Project Management', 'Market Research', 'Business Strategy']",You will be asked to analyse and optimise supply chain processes to improve efficiency and reduce costs.
Public Relations Officer,Marketing and Creative,£23000,Bristol,"['Social Media Marketing', 'Campaign Management', 'Brand Strategy']",Manage public relations activities to promote and protect the organisation's image with varying strategies.
Risk Analyst,Finance and Business,£31000,Birmingham,"['Business Strategy', 'Risk Assessment', 'Bookkeeping']",You must be able to identify and assess potential risks to the organisation.
Systems Analyst,Technology and Data,£22000,Manchester,"['Django', 'Docker', 'Data Visualisation']",Evaluate and improve computer systems to enhance efficiency.
Management Consultant,Administrative,£29000,Cambridge,"['Talent Acquisition', 'Leadership', 'Compliance Management']",Analyse organisational practices and develop strategies to improve efficiency and effectiveness; then be able to provide recommendations for business improvements.
Research Scientist,Engineering and Science,£27000,Bristol,"['Mechanical Design', 'Research Methodology', 'Simulation Software']",Conduct experiments and analyse data to advance scientific knowledge. You must be specialised in areas such as biology or physics.
Biomedical Scientist,Engineering and Science,£25000,Leeds,"['Regulatory Compliance', 'Mechanical Design', 'Prototyping']",Conduct research and analyse biological samples to support medical and clinical studies.
Nurse,Administrative,£31000,Newcastle,"['HR Information Systems', 'Leadership', 'Compliance Management']","Provide medical care and support to patients. Duties include conducting medical assessments, administering treatments, and collaborating with healthcare professionals."
Corporate Finance Analyst,Finance and Business,£25000,Nottingham,"['Business Strategy', 'Analytical Skills', 'Reporting']","Support corporate finance activities including budgeting, forecasting, and financial planning."
Web Developer,Technology and Data,£24000,Leeds,"['Machine Learning', 'Cloud Computing', 'Data Analysis']","Build and maintain websites and web applications. You will have to be proficient in HTML, CSS and JavaScript."
Graphic Designer,Marketing and Creative,£33000,Manchester,"['Graphic Design', 'Email Marketing', 'Google Analytics']",Design visual assets for print and digital media. You must be proficient in design software such as Adobe Photoshop and Illustrator.
Product Designer,Marketing and Creative,£30000,Cambridge,"['Content Creation', 'Social Media Marketing', 'Analytics']","Design and develop new products, from concept to production. You will work on product specifications and testing."
Nurse,Administrative,£31000,Cambridge,"['Office Management', 'Client Management', 'Compliance Management']","Provide medical care and support to patients. Duties include conducting medical assessments, administering treatments, and collaborating with healthcare professionals."
Data Analyst,Technology and Data,£24000,Liverpool,"['Django', 'Docker', 'Cloud Computing']","Analyse and interpret complex data sets to help organisations make informed decisions, utilising tools like SQL and other data sorting software."
Content Writer,Marketing and Creative,£32000,Newcastle,"['Analytics', 'Brand Strategy', 'Campaign Management']","Create engaging written content for various platforms, including blogs, websites, and various social media platforms."
Investment Banking Analyst,Finance and Business,£31000,Birmingham,"['Financial Analysis', 'Business Strategy', 'Financial Modeling']",You will assist in the evaluation of investment opportunities and financial transactions. You must also be proficient in conducting market research and financial modeling.
Data Scientist,Technology and Data,£31000,Cambridge,"['ETL', 'SQL', 'Django']",Apply statistical analysis and machine learning techniques to interpret data and provide actionable insights. Experience with tools such as Python and R is preferred.
Audit Associate,Finance and Business,£24000,Cambridge,"['Quantitative Analysis', 'Bookkeeping', 'Project Management']",Perform internal audits to ensure compliance with regulations and standards. You will also be able to review financial records and assess internal controls.
Content Writer,Marketing and Creative,£29000,Bristol,"['Content Creation', 'Google Analytics', 'User Research']","Create engaging written content for various platforms, including blogs, websites, and various social media platforms."
Technical Support Engineer,Technology and Data,£22000,Nottingham,"['Problem Solving', 'ETL', 'Data Analysis']","You should be able to diagnose and resolve technical issues, providing support to clients and customers."
Investment Banking Analyst,Finance and Business,£29000,Nottingham,"['Regulatory Compliance', 'Reporting', 'Market Research']",You will assist in the evaluation of investment opportunities and financial transactions. You must also be proficient in conducting market research and financial modeling.
Public Relations Officer,Marketing and Creative,£34000,Bristol,"['Market Research', 'Social Media Marketing', 'Campaign Management']",Manage public relations activities to promote and protect the organisation's image with varying strategies.
Insurance Underwriter,Administrative,£23000,Nottingham,"['Organisational Skills', 'Onboarding', 'Compliance Management']",Evaluate insurance applications and determine coverage terms. Assess risk factors and decide on policy approval and pricing.
Management Consultant,Administrative,£26000,Sheffield,"['HR Information Systems', 'Organisational Skills', 'Communication']",Analyse organisational practices and develop strategies to improve efficiency and effectiveness; then be able to provide recommendations for business improvements.
Teacher,Administrative,£24000,Newcastle,"['Communication', 'Compliance Management', 'Talent Acquisition']","Plan and deliver educational lessons to students. You will develop lesson plans, assess student performance, and provide effective feedback."
Quantity Surveyor,Engineering and Science,£34000,Manchester,"['Statistical Analysis', 'Technical Writing', 'Mechanical Design']","Manage costs and budgets for construction projects. Conduct cost estimation, financial reporting, and contract administration."
Systems Analyst,Technology and Data,£25000,London,"['JavaScript', 'Data Visualisation', 'Version Control']",Evaluate and improve computer systems to enhance efficiency.
Financial Analyst,Finance and Business,£28000,Bristol,"['Budgeting', 'Analytical Skills', 'Reporting']","Analyse financial data and create reports to support business decisions, and then develop financial models and forecasts to assess performance."
Quantity Surveyor,Engineering and Science,£22000,Sheffield,"['Simulation Software', 'Problem Solving', 'CAD Software']","Manage costs and budgets for construction projects. Conduct cost estimation, financial reporting, and contract administration."
Systems Analyst,Technology and Data,£29000,London,"['Problem Solving', 'Big Data Technologies', 'SQL']",Evaluate and improve computer systems to enhance efficiency.
Mechanical Engineer,Engineering and Science,£24000,Sheffield,"['Finite Element Analysis', 'Lab Techniques', 'Prototyping']","Design machinery and equipment, and troubleshoot engineering issues."
Supply Chain Analyst,Finance and Business,£28000,Bristol,"['Analytical Skills', 'Project Management', 'Financial Modeling']",You will be asked to analyse and optimise supply chain processes to improve efficiency and reduce costs.
IT Support Specialist,Technology and Data,£25000,Newcastle,"['Data Visualisation', 'Version Control', 'Big Data Technologies']",You will have to provide technical support and troubleshooting for hardware and software issues.
Technical Support Engineer,Technology and Data,£31000,Bristol,"['SQL', 'Problem Solving', 'JavaScript']","You should be able to diagnose and resolve technical issues, providing support to clients and customers."
Business Development Executive,Finance and Business,£25000,Bristol,"['Regulatory Compliance', 'Bookkeeping', 'Excel']","Identify and develop new business opportunities to drive growth, and build relationships with clients and partners to expand the business."
Product Designer,Marketing and Creative,£28000,Sheffield,"['Adobe Creative Suite', 'Google Analytics', 'Analytics']","Design and develop new products, from concept to production. You will work on product specifications and testing."
Operations Manager,Finance and Business,£34000,Cambridge,"['Financial Forecasting', 'Bookkeeping', 'Financial Analysis']","Oversee daily operations of the organisation, ensuring efficiency and effectiveness to streamline processes."
Event Coordinator,Marketing and Creative,£21000,London,"['User Research', 'Graphic Design', 'Content Management Systems']","Plan and execute events, ensuring all aspects run smoothly, managing event logistics and budgets."
Quantity Surveyor,Engineering and Science,£33000,Manchester,"['Mechanical Design', 'Lab Techniques', 'Technical Writing']","Manage costs and budgets for construction projects. Conduct cost estimation, financial reporting, and contract administration."
Civil Engineer,Engineering and Science,£34000,Nottingham,"['Prototyping', 'Product Development', 'Data Analysis']","Design and oversee construction projects such as roads and bridges, ensuring compliance with safety regulations and environmental standards."
Health and Safety Advisor,Engineering and Science,£25000,Cambridge,"['Simulation Software', 'Finite Element Analysis', 'Lab Techniques']",Develop and implement health and safety policies; conducting risk assessments and ensuring compliance with safety regulations.
Web Developer,Technology and Data,£32000,Leeds,"['ETL', 'Data Visualisation', 'Problem Solving']","Build and maintain websites and web applications. You will have to be proficient in HTML, CSS and JavaScript."
Insurance Underwriter,Administrative,£29000,Leeds,"['Client Management', 'Performance Appraisal Systems', 'Employee Relations']",Evaluate insurance applications and determine coverage terms. Assess risk factors and decide on policy approval and pricing.
Event Coordinator,Marketing and Creative,£28000,Leeds,"['SEO Optimisation', 'Adobe Creative Suite', 'Campaign Management']","Plan and execute events, ensuring all aspects run smoothly, managing event logistics and budgets."
Product Designer,Marketing and Creative,£34000,Leeds,"['Market Research', 'Brand Strategy', 'Content Management Systems']","Design and develop new products, from concept to production. You will work on product specifications and testing."
Graphic Designer,Marketing and Creative,£31000,Bristol,"['Content Management Systems', 'Adobe Creative Suite', 'Brand Strategy']",Design visual assets for print and digital media. You must be proficient in design software such as Adobe Photoshop and Illustrator.
Human Resources Assistant,Administrative,£34000,Liverpool,"['Performance Appraisal Systems', 'Talent Acquisition', 'Training and Development']","Support HR functions including recruitment, employee relations, and record-keeping."
Operations Manager,Finance and Business,£28000,Leeds,"['Financial Modeling', 'Bookkeeping', 'Regulatory Compliance']","Oversee daily operations of the organisation, ensuring efficiency and effectiveness to streamline processes."
Logistics Coordinator,Administrative,£23000,Bristol,"['Communication', 'Employee Relations', 'Talent Acquisition']",Manage logistics and supply chain operations through coordinating shipments and tracking inventory.
Operations Manager,Finance and Business,£31000,Sheffield,"['Financial Forecasting', 'Bookkeeping', 'Regulatory Compliance']","Oversee daily operations of the organisation, ensuring efficiency and effectiveness to streamline processes."
Systems Analyst,Technology and Data,£31000,Birmingham,"['Cloud Computing', 'JavaScript', 'Big Data Technologies']",Evaluate and improve computer systems to enhance efficiency.
Software Developer,Technology and Data,£31000,Bristol,"['Problem Solving', 'Data Analysis', 'Data Warehousing']","Develop and maintain software applications and systems, and write clean code in languages such as Python and JavaScript."
Social Media Manager,Marketing and Creative,£30000,Bristol,"['Google Analytics', 'Digital Marketing', 'SEO Optimisation']","Manage social media accounts and create content to engage with followers, and also analyse social media metrics and develop strategies for growth."
Product Designer,Marketing and Creative,£31000,Nottingham,"['SEO Optimisation', 'Market Research', 'Digital Marketing']","Design and develop new products, from concept to production. You will work on product specifications and testing."
Civil Engineer,Engineering and Science,£30000,Sheffield,"['Problem Solving', 'Lab Techniques', 'Statistical Analysis']","Design and oversee construction projects such as roads and bridges, ensuring compliance with safety regulations and environmental standards."
Financial Analyst,Finance and Business,£27000,Leeds,"['Analytical Skills', 'Financial Modeling', 'Project Management']","Analyse financial data and create reports to support business decisions, and then develop financial models and forecasts to assess performance."
Audit Associate,Finance and Business,£35000,Birmingham,"['Financial Modeling', 'Quantitative Analysis', 'Regulatory Compliance']",Perform internal audits to ensure compliance with regulations and standards. You will also be able to review financial records and assess internal controls.
Software Developer,Technology and Data,£21000,Manchester,"['Machine Learning', 'Cloud Computing', 'ETL']","Develop and maintain software applications and systems, and write clean code in languages such as Python and JavaScript."
Business Analyst,Finance and Business,£30000,Cambridge,"['Excel', 'Risk Assessment', 'Financial Forecasting']",Identify business needs and develop solutions to enhance processes and operations.
Marketing Executive,Marketing and Creative,£33000,Liverpool,"['Social Media Marketing', 'Graphic Design', 'Content Management Systems']","Plan and execute marketing campaigns to promote products and services, through analysing market trends and tracking campaign performance."
Corporate Finance Analyst,Finance and Business,£31000,Newcastle,"['Financial Analysis', 'Excel', 'Reporting']","Support corporate finance activities including budgeting, forecasting, and financial planning."
Legal Assistant,Administrative,£25000,Cambridge,"['Onboarding', 'Payroll Management', 'Recruitment']",Provide administrative support to legal teams and assist with legal research and document preparation
